id,order_number,customer_account_id,branch_id,status,created_at,grand_total,order_total,net_total,vat_total,subtotal,canonical_order_items_total,customer_ledger_invoice_total,customer_invoice_total,active_allocated,classification
8ff26706-aa18-4783-8397-764dc394b3e4,ORD-1783530690858,2b47678a-6482-4c53-ae2b-838ee7f770d5,,Delivered,2026-07-08 17:11:30.203878,0,213.04,177.53,35.51,177.53,213.04,213.04,213.04,213.04,VALID LEGACY INVOICE - order header total stale
2adec6dc-090f-4f17-8756-2ee94f44a7a0,ORD-1783533340504,9d512b68-645b-4643-8d9a-e8cd8941c779,,Delivered,2026-07-08 17:55:39.753606,0,201.25,201.25,0.00,201.25,201.25,201.25,201.25,201.25,VALID LEGACY INVOICE - order header total stale
6eb7b04a-b00e-499f-8779-9dfc6fbc47cd,ORD-1783536869969,aa9fd387-792b-44dc-90e9-d1d7c4822277,,Delivered,2026-07-08 18:54:29.254981,0,492.25,492.25,0.00,492.25,492.25,492.25,492.25,492.25,VALID LEGACY INVOICE - order header total stale
1c8ed0cb-965d-48a1-a7c1-ffd2837fedfe,ORD-1783536985516,aa9fd387-792b-44dc-90e9-d1d7c4822277,,Delivered,2026-07-08 18:56:24.810692,0,190.00,190.00,0.00,190.00,190.00,190.00,190.00,190.00,VALID LEGACY INVOICE - order header total stale
96f66974-4849-47ab-89f0-8be67b7920e4,ORD-1783587007872,6d2d66c7-81fa-43d4-95a9-ea3f450c7be1,,Delivered,2026-07-09 08:50:08.543232,0,286.36,238.63,47.73,238.63,286.36,286.36,286.36,286.36,VALID LEGACY INVOICE - order header total stale
9809c871-b2a8-4796-85da-14de71ec54ad,ORD-1783590940565,d4cf28c6-803f-4d60-9909-e11a6d202059,,Delivered,2026-07-09 09:55:39.962329,0,1072.20,893.50,178.70,893.50,1072.20,1072.20,1072.20,1072.20,VALID LEGACY INVOICE - order header total stale
bb785763-d659-4035-a53c-51e39d66382e,ORD-1783607744156,e1f2010f-7024-404c-91fe-9a4ae0748c66,,Delivered,2026-07-09 14:35:44.652219,0,381.97,318.31,63.66,318.31,381.97,381.97,381.97,381.97,VALID LEGACY INVOICE - order header total stale
3a0d3f87-3828-41ea-a714-e9e01a0e3ed3,ORD-1783625028018,46c6acb6-759b-4075-88ca-1d2d2677cbd2,,Delivered,2026-07-09 19:23:47.7535,0,545.00,454.17,90.83,454.17,545.00,545.00,545.00,545.00,VALID LEGACY INVOICE - order header total stale
37416dc7-88a4-4e74-8744-a8a323865d85,ORD-1783627326037,46c6acb6-759b-4075-88ca-1d2d2677cbd2,,Delivered,2026-07-09 20:02:05.733816,0,717.04,597.53,119.51,597.53,717.04,717.04,717.04,717.04,VALID LEGACY INVOICE - order header total stale
14552333-b664-4b2b-a6fb-9ed404210c2d,ORD-1783669328663,cf77177c-1a9d-4fe2-8b32-ee8d08c6fb68,,Delivered,2026-07-10 07:42:13.59642,0,229.78,191.48,38.30,191.48,229.78,229.78,229.78,229.78,VALID LEGACY INVOICE - order header total stale
de06a4d8-e50c-44e9-8fa3-532529b03fef,ORD-1783677331784,cbcd5ab9-d204-4866-b99c-daaf0b875cdb,,Delivered,2026-07-10 09:55:31.745495,0,429.00,357.50,71.50,357.50,522.82,522.82,522.82,250.00,VALID LEGACY INVOICE - order header total stale
9b78369c-73a8-4666-98d5-99c14b378fba,ORD-1783681802911,27a6eb1c-aa77-4129-a340-9e4698a3d6df,,Delivered,2026-07-10 11:10:03.04465,0,499.97,416.64,83.33,416.64,499.97,499.97,499.97,499.97,VALID LEGACY INVOICE - order header total stale
a06661d5-b554-434c-aef8-a168aba6d2e8,ORD-1783699036110,3c525a75-a937-4320-ac36-8e56ed3aa678,,Delivered,2026-07-10 15:57:16.301699,0,478.38,398.65,79.73,398.65,478.38,478.38,478.38,478.38,VALID LEGACY INVOICE - order header total stale
f9598222-b224-42b8-97cb-7df7fb65e072,ORD-1783706122832,f5874ce0-a9f1-46f6-90ae-6fe899066407,,Delivered,2026-07-10 17:55:23.174376,0,375.72,313.10,62.62,313.10,375.72,375.72,375.72,375.72,VALID LEGACY INVOICE - order header total stale
04f5ee26-d95f-4712-8f04-931b341f2c98,ORD-1783781283112,a9a2e130-f584-40ea-a288-b2901bca39fb,4c621f1e-5e75-47b9-a6e0-0f6f46c3b0b0,Delivered,2026-07-11 14:48:03.350074,0,572.75,572.75,0.00,572.75,650.00,,572.75,572.75,VALID LEGACY INVOICE - order header total stale
ccbf2c34-5891-469e-9779-7ea79ef2651d,ORD-1783859231280,46c6acb6-759b-4075-88ca-1d2d2677cbd2,,Delivered,2026-07-12 12:27:11.365466,0,536.95,447.46,89.49,447.46,1037.11,1037.11,1037.11,1037.11,VALID LEGACY INVOICE - order header total stale
45754acb-fbc9-4976-8129-cb050cb38087,ORD-1783947118311,7d85e0dc-6084-4035-b631-d8538e40fc96,,Delivered,2026-07-13 12:51:58.617141,0,13.50,13.50,0.00,13.50,47.50,47.50,47.50,47.50,VALID LEGACY INVOICE - order header total stale
1173df18-7d8b-47b5-a6b6-c350c5805447,ORD-1783968569000,63d35c9e-bff6-4bf0-8336-8e5f09af4751,,Delivered,2026-07-13 18:49:29.159869,0,1459.88,1216.57,243.31,1216.57,1459.88,1459.88,1459.88,1459.88,VALID LEGACY INVOICE - order header total stale
b7a2ef90-d834-4ea3-b181-8bcc2e6e72ba,ORD-1784043472348,2b47678a-6482-4c53-ae2b-838ee7f770d5,,Delivered,2026-07-14 15:37:52.499725,0,724.88,604.07,120.81,604.07,724.88,,724.88,518.34,VALID LEGACY INVOICE - order header total stale
0f3a1e9c-6738-4812-8d1d-944d7b879009,ORD-1784058955244,4a1c6903-78ff-46e5-840e-ee9e016e60d2,,Delivered,2026-07-14 19:55:56.396905,0,617.00,617.00,0.00,617.00,617.00,617.00,617.00,617.00,VALID LEGACY INVOICE - order header total stale
d2df2dbd-05e4-42b9-98ce-a8823f5b89f4,ORD-1784120110781,a9a2e130-f584-40ea-a288-b2901bca39fb,14ecdcd3-f761-4de5-a5e0-4fb8b2230b9e,Delivered,2026-07-15 12:55:11.58423,0,931.50,931.50,0.00,931.50,931.50,,931.50,931.50,VALID LEGACY INVOICE - order header total stale
b4fdc893-cee8-438f-ae48-f252b074eead,ORD-1784141727578,9d512b68-645b-4643-8d9a-e8cd8941c779,,Delivered,2026-07-15 18:55:29.050987,0,277.00,277.00,0.00,277.00,277.00,,277.00,87.00,VALID LEGACY INVOICE - order header total stale
0ed9e184-71ed-48a4-a23e-fcb3898acdfe,ORD-1784144566386,1c91b4f7-dd37-479f-aa86-52d6e3d70587,,Delivered,2026-07-15 19:42:46.616037,0,414.75,414.75,0.00,414.75,414.75,,414.75,414.75,VALID LEGACY INVOICE - order header total stale
6ac8f9b8-8d79-4265-b370-df71b28c24ac,ORD-1784191723465,6d2d66c7-81fa-43d4-95a9-ea3f450c7be1,,Delivered,2026-07-16 08:48:43.756425,0,291.30,242.75,48.55,242.75,291.30,,291.30,291.30,VALID LEGACY INVOICE - order header total stale
f7b0644e-3d8d-4936-aa1e-09e41f7a8473,ORD-1784197506132,d4cf28c6-803f-4d60-9909-e11a6d202059,,Delivered,2026-07-16 10:25:04.090851,0,838.90,699.08,139.82,699.08,838.90,,838.90,838.90,VALID LEGACY INVOICE - order header total stale
8606ac05-ac97-4380-929f-28922830b74b,ORD-1784207369284,aa9fd387-792b-44dc-90e9-d1d7c4822277,,Delivered,2026-07-16 13:09:30.007292,0,662.63,552.19,110.44,552.19,681.82,,662.63,662.63,VALID LEGACY INVOICE - order header total stale
73bf680c-f3d9-4281-866d-f6f9c0c3ec9a,ORD-1784221040744,e1f2010f-7024-404c-91fe-9a4ae0748c66,,Delivered,2026-07-16 16:57:21.695296,0,216.62,180.52,36.10,180.52,309.92,,309.92,309.92,VALID LEGACY INVOICE - order header total stale
52178dae-45d6-4858-ae8c-907796e47c66,ORD-1784224445293,a9a2e130-f584-40ea-a288-b2901bca39fb,d1adb697-2de3-4cf6-b898-aa16e32d4a79,Delivered,2026-07-16 17:54:04.007782,0,300.00,300.00,0.00,300.00,300.00,,300.00,300.00,VALID LEGACY INVOICE - order header total stale
d26bec14-bbac-4717-a3a0-e17f9ea66e0d,ORD-1784225807857,7121f685-1d2f-4ec1-81ad-a775581e1665,,Delivered,2026-07-16 18:16:48.007963,0,135.75,135.75,0.00,135.75,168.00,,168.00,168.00,VALID LEGACY INVOICE - order header total stale
55330e93-37a7-4306-a305-9e15eaf8a719,ORD-1784271423931,cf77177c-1a9d-4fe2-8b32-ee8d08c6fb68,,Delivered,2026-07-17 06:57:17.025695,0,524.48,437.07,87.41,437.07,568.99,,568.99,568.99,VALID LEGACY INVOICE - order header total stale
ae3d0a26-e36c-4a3f-bb52-57465f1e6df6,ORD-1784274909662,3c525a75-a937-4320-ac36-8e56ed3aa678,,Delivered,2026-07-17 07:55:09.760911,0,353.71,294.76,58.95,294.76,353.71,,353.71,353.71,VALID LEGACY INVOICE - order header total stale
